,game_date,home_team,Stadium,week,away_team,weekday,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,total_attendance,home_attendance,away_attendance,weekly_attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,superbowl_winner,Capacity,Turf,Temperature,EstimatedCondition
3971,23/9/2012,28,24,3,2,4,16:05:00,27,3,384,1,280,4,26,2,1022066,479716,542350,61297,7,9,350,350,0,0,-2.3,-2.3,-2,-0.4,1,1,70561,2,75.02,2
3972,12/11/2000,32,25,11,12,4,16:15:00,20,15,272,1,302,1,30,12,1080729,524775,555954,65621,10,6,388,269,119,7.4,-0.1,7.3,3.4,3.9,2,1,65890,3,75.02,2
3973,19/10/2008,32,25,7,30,4,20:23:00,20,10,402,1,176,2,30,28,1049053,516088,532965,64811,9,7,361,323,38,2.4,-0.1,2.3,-0.6,2.9,1,1,65890,3,75.02,2
3974,14/11/2010,32,25,10,5,4,13:02:00,31,16,421,2,300,1,30,5,937014,394513,542501,44264,10,6,341,318,23,1.4,-2,-0.6,-1,0.4,1,1,65890,3,75.02,2
3975,3/10/2011,32,25,4,14,2,20:40:00,24,17,466,0,318,1,30,14,1019250,473281,545969,63972,4,12,287,494,-207,-12.9,2.3,-10.6,-4,-6.6,1,1,65890,3,75.02,2
3976,30/11/2014,32,25,13,7,4,13:02:00,14,13,288,3,263,1,30,7,1023818,477273,546545,56340,2,14,277,410,-133,-8.3,-1.5,-9.8,-6.5,-3.3,1,1,65890,3,75.02,2
3977,4/10/2015,32,25,4,5,4,13:03:00,37,23,244,1,411,5,30,5,1041376,492460,548916,57468,6,10,342,417,-75,-4.7,-3,-7.7,-3.5,-4.2,1,1,65890,3,75.02,2
3978,25/11/2018,32,25,12,29,4,13:00:00,27,9,412,0,342,2,30,27,999843,434855,564988,50436,5,11,396,464,-68,-4.3,1.7,-2.6,2,-4.6,1,1,65890,3,75.02,2
3979,1/10/2017,17,26,4,26,4,16:05:00,26,24,454,0,400,1,17,24,783367,202687,580680,25374,9,7,355,272,83,5.2,-1.5,3.6,-0.3,4,1,1,70000,2,75.02,2
3980,8/10/2017,18,26,5,30,4,16:05:00,16,10,241,2,375,5,17,28,1062261,507136,555125,60745,11,5,478,329,149,9.3,-0.2,9.2,8.2,1,2,1,70000,2,75.02,2
3981,25/11/2018,17,26,12,1,4,16:05:00,45,10,414,1,149,1,17,1,803556,262145,541411,25343,12,4,428,329,99,6.2,-0.2,6,3,2.9,2,1,70000,2,75.02,2
3982,8/9/2019,17,26,1,14,4,16:05:00,30,24,435,2,376,0,17,14,760644,254007,506637,25363,5,11,337,345,-8,-0.5,-0.8,-1.3,-1.6,0.3,1,1,70000,2,75.02,2
3983,21/9/2008,6,27,3,32,4,13:02:00,27,24,454,4,405,2,6,30,1028406,496276,532130,62051,9,7,375,350,25,1.6,0.5,2.1,1.1,1,1,1,61500,3,75.02,2
3984,11/9/2011,6,27,1,2,4,13:06:00,30,12,377,1,386,3,6,2,1053343,497166,556177,62115,8,8,353,341,12,0.8,0.9,1.7,-1.5,3.1,1,1,61500,3,75.02,2
