"","x"
"533",59866
"534",72818
"535",69439
"536",62906
"537",68798
"538",69353
"539",53530
"540",69382
"541",69506
"542",68987
"543",65619
"544",69465
"545",71447
"546",56135
"547",72874
"548",72654
"549",58893
"550",63698
"551",63786
"552",60292
"553",60836
"554",73063
"555",67252
"556",44549
"557",45527
"558",43320
"559",78200
"560",73428
"561",64108
"562",47804
"563",73120
"564",66944
"565",72049
"566",74480
"567",72642
"568",72597
"569",66069
"570",72665
"571",72234
"572",70020
"573",44549
"574",72438
"575",72025
"576",71907
"577",69365
"578",66944
"579",46483
"580",66944
"581",63408
"582",66944
"583",66944
"584",66944
"585",65612
"586",64214
"587",66944
"588",59869
"589",66944
"590",78884
"591",76067
"592",66944
"593",51521
"594",51121
"595",56048
"596",62335
"597",64217
"598",63408
"599",69343
"600",57161
"601",63865
"602",72918
"603",52135
"604",44920
"605",77745
"606",68987
"607",63751
"608",68798
"609",72318
"610",73168
"611",57875
"612",73018
"613",64217
"614",72818
"615",66944
"616",73218
"617",69353
"618",72918
"619",72818
"620",60292
"621",72818
"622",59824
"623",68798
"624",59189
"625",61521
"626",63430
"627",66621
"628",61535
"629",63941
"630",63114
"631",78673
"632",69010
"633",63204
"634",64104
"635",85112
"636",61821
"637",63366
"638",48883
"639",64366
"640",77512
"641",75735
"642",50913
"643",75082
"644",75037
"645",61837
"646",67521
"647",74750
"648",62637
"649",74951
"650",74622
"651",64104
"652",73938
"653",74524
"654",77778
"655",75582
"656",56192
"657",59523
"658",73168
"659",77765
"660",64048
"661",76940
"662",69343
"663",67605
"664",74268
"665",32322
"666",77730
"667",66944
"668",65514
"669",72190
"670",62809
"671",76067
"672",77512
"673",59523
"674",59771
"675",73120
"676",65510
"677",59866
"678",64165
"679",59861
"680",66944
"681",59849
"682",77730
"683",66908
"684",59869
"685",68804
"686",59824
"687",59870
"688",78601
"689",78606
"690",56135
"691",60292
"692",56972
"693",56022
"694",74212
"695",63786
"696",57127
"697",70020
"698",56393
"699",69382
"700",73858
"701",55603
"702",56302
"703",66084
"704",56192
"705",63785
"706",65994
"707",57875
"708",54524
"709",58893
"710",69439
"711",68798
"712",57161
"713",62644
"714",53530
"715",66908
"716",44920
"717",72818
"718",64150
"719",59396
"720",66944
"721",78844
"722",77666
"723",76573
"724",75037
"725",78413
"726",35916
"727",74212
"728",58789
"729",78234
"730",77357
"731",77087
"732",60784
"733",77778
"734",76131
"735",59396
"736",58460
"737",68798
"738",73404
"739",66046
"740",72713
"741",78823
"742",59108
"743",72597
"744",57127
"745",74259
"746",73063
"747",73938
"748",73858
"749",68223
"750",60292
"751",73559
"752",73428
"753",64108
"754",66944
"755",64105
"756",70020
"757",64048
"758",64165
"759",65558
"760",65638
"761",64283
"762",64214
"763",62661
"764",64271
"765",72190
"766",64150
"767",59870
"768",69465
"769",51521
"770",60292
"771",60292
"772",72713
"773",60292
"774",56022
"775",74750
"776",44229
"777",60292
"778",60292
"779",60292
"780",78712
"781",60292
"782",45527
"783",60292
"784",71907
"785",71447
"786",78451
"787",70020
"788",72049
"789",70020
"790",66189
"791",70020
"792",68083
"793",70020
"794",60292
"795",70020
"796",68826
"797",70332
"798",65526
"799",70020
"800",70020
"801",75735
"802",77666
"803",78451
"804",78651
"805",65992
"806",78821
"807",80316
"808",78673
"809",36917
"810",64283
"811",78756
"812",61821
"813",77913
"814",78119
"815",65885
