"","home_team","game_id","Stadium","week","away_team","weekday","pts_win","pts_loss","yds_win","turnovers_win","yds_loss","turnovers_loss","home_team_city","away_team_city","total_attendance","home_attendance","away_attendance","weekly_attendance","wins","loss","points_for","points_against","points_differential","margin_of_victory","strength_of_schedule","simple_rating","offensive_ranking","defensive_ranking","playoffs","superbowl_winner","Capacity","Turf","Temperature","EstimatedCondition"
"93",16,4757,3,16,19,4,29,13,404,0,345,2,16,18,1134166,592851,541315,65325,10,6,415,339,76,4.8,-1.3,3.4,3.8,-0.3,2,1,76416,3,23,1
"94",10,2058,7,14,16,4,41,7,453,0,129,3,10,16,1139812,612893,526919,75895,7,9,320,409,-89,-5.6,1.6,-3.9,-0.2,-3.8,1,1,76125,3,23,1
"95",21,3630,10,12,10,4,34,31,440,3,412,4,20,10,1120817,550048,570769,68756,12,4,444,338,106,6.6,-0.7,5.9,4.5,1.4,2,1,65878,1,23,1
"96",12,207,13,15,11,4,26,13,330,2,293,5,12,11,1049602,478747,570855,59854,9,7,353,323,30,1.9,0.6,2.5,1.8,0.7,1,1,81441,3,23,1
"97",12,700,13,13,6,4,30,20,396,2,304,4,12,6,1046418,508788,537630,64196,12,4,398,328,70,4.4,-0.8,3.6,2.4,1.2,2,1,81441,3,23,1
"98",12,3691,13,16,27,4,38,31,343,2,370,2,12,25,1191205,623577,567628,77999,8,7,417,428,-11,-0.7,-2.4,-3.1,0.5,-3.6,2,1,81441,3,23,1
"99",14,1280,16,16,28,4,34,31,464,1,374,1,14,26,1016831,456791,560040,57330,12,4,522,351,171,10.7,0.7,11.4,11.7,-0.3,2,1,67000,1,23,1
"100",24,4358,20,7,3,4,24,16,344,2,245,3,22,3,1168377,625280,543097,78160,5,11,275,409,-134,-8.4,-0.1,-8.5,-5.5,-3,1,1,82500,2,23,1
"101",33,4774,21,17,15,4,15,10,232,1,229,4,31,15,1040119,525214,514905,65501,9,7,334,356,-22,-1.4,-2.1,-3.5,-2,-1.5,2,1,69143,3,23,1
"102",6,4750,27,16,8,4,20,3,258,0,254,3,6,8,1021219,488137,533082,58796,5,11,264,320,-56,-3.5,2.2,-1.3,-4.6,3.3,1,1,61500,3,23,1
"103",31,1532,29,15,26,4,17,16,201,4,305,1,29,24,1036861,523685,513176,65382,6,10,363,429,-66,-4.1,-1,-5.1,1.3,-6.4,1,1,67277,2,23,1
"104",20,4740,32,15,7,4,34,7,346,1,161,2,19,7,1099905,533769,566136,66833,13,3,382,252,130,8.1,1,9.1,2.3,6.8,2,1,66200,1,23,1
"105",6,1504,27,13,12,4,19,7,190,2,358,4,6,12,1015156,496965,518191,62177,11,5,260,202,58,3.6,-2.2,1.4,-5.2,6.6,2,1,61500,3,24,1
"106",27,3652,1,14,19,4,34,28,367,1,412,1,25,18,1025772,458489,567283,52489,8,8,379,370,9,0.6,-2.5,-2,-0.9,-1,1,1,68400,3,24.08,1
"107",27,3678,1,15,7,4,30,20,290,1,279,1,25,7,1025772,458489,567283,45873,8,8,379,370,9,0.6,-2.5,-2,-0.9,-1,1,1,68400,3,24.08,1
"108",16,3624,3,12,28,4,41,38,491,0,395,2,16,26,1118007,602877,515130,75259,11,5,430,305,125,7.8,-1.7,6.1,1.7,4.3,2,1,76416,3,24.08,1
"109",16,3684,3,16,14,4,23,7,367,0,287,3,16,14,1118007,602877,515130,75396,11,5,430,305,125,7.8,-1.7,6.1,1.7,4.3,2,1,76416,3,24.08,1
"110",16,5271,3,15,10,4,23,3,419,1,251,1,16,10,1115771,587723,528048,73257,12,4,451,308,143,8.9,0.2,9.1,6.2,2.9,2,2,76416,3,24.08,1
"111",8,2882,6,16,3,4,20,10,258,1,280,4,8,3,1017907,528933,488974,65028,5,11,271,332,-61,-3.8,2.3,-1.5,-3.4,2,1,1,67895,3,24.08,1
"112",11,4952,9,12,6,5,23,16,264,1,333,2,11,6,1054328,502061,552267,65684,6,10,324,360,-36,-2.3,-0.8,-3,-3.3,0.3,1,1,65000,2,24.08,1
"113",12,3418,13,16,33,4,55,7,460,0,180,2,12,31,1106110,564062,542048,70508,11,5,433,336,97,6.1,1.2,7.3,4.9,2.4,2,1,81441,3,24.08,1
"114",14,2841,16,13,9,4,38,35,368,0,405,4,14,9,1093781,535802,557979,67471,10,6,435,388,47,2.9,-0.1,2.9,3.7,-0.9,2,1,67000,1,24.08,1
"115",14,2868,16,15,15,4,34,24,376,0,356,2,14,15,1093781,535802,557979,67147,10,6,435,388,47,2.9,-0.1,2.9,3.7,-0.9,2,1,67000,1,24.08,1
"116",24,2806,20,11,13,4,30,27,401,2,343,1,22,13,1163375,628768,534607,78843,11,5,367,304,63,3.9,2.5,6.5,2.2,4.2,2,1,82500,2,24.08,1
"117",6,2859,27,14,21,4,36,7,475,0,185,4,6,20,1022863,497561,525302,62347,11,5,334,286,48,3,1.1,4.1,-0.6,4.7,2,1,61500,3,24.08,1
"118",6,4139,27,11,10,4,17,15,389,0,347,2,6,10,1020065,496287,523778,62483,6,10,335,397,-62,-3.9,2.6,-1.3,-0.1,-1.2,1,1,61500,3,24.08,1
"119",22,2563,28,12,21,2,38,17,480,1,366,3,21,20,1116009,560840,555169,70768,13,3,510,341,169,10.6,0.2,10.8,11.2,-0.5,2,2,74295,2,24.08,1
"120",31,3619,29,12,6,4,42,21,406,0,424,3,29,6,1014994,455657,559337,66024,7,9,348,364,-16,-1,3.2,2.2,0.4,1.8,1,1,67277,2,24.08,1
"121",20,2878,32,15,6,2,40,14,293,1,273,5,19,6,1029797,470009,559788,40504,6,10,281,348,-67,-4.2,2.6,-1.6,-3.3,1.7,1,1,66200,1,24.08,1
"122",10,5306,7,17,25,4,16,15,238,1,477,1,10,23,1104191,607497,496694,76334,7,9,282,316,-34,-2.1,0,-2.1,-4.8,2.7,1,1,76125,3,24.8,1
"123",11,3632,9,13,12,5,40,10,561,4,126,3,11,12,1053841,510369,543472,64934,7,9,395,376,19,1.2,-2.8,-1.6,-1.2,-0.5,1,1,65000,2,24.8,1
"124",20,2077,32,15,6,2,20,13,372,4,209,1,19,6,1065131,506046,559085,63800,8,8,365,311,54,3.4,0.4,3.8,1.4,2.4,1,1,66200,1,24.8,1
"125",20,2311,32,13,6,4,34,14,378,1,228,3,19,6,1023776,506136,517640,63722,10,6,379,333,46,2.9,1.2,4,1.1,2.9,2,1,66200,1,24.8,1
"126",10,490,7,16,25,4,23,17,231,0,334,3,10,23,1115203,600283,514920,75582,8,8,340,339,1,0.1,-0.5,-0.5,0.5,-1,1,1,76125,3,24.98,1
"127",11,1540,9,15,7,4,41,17,426,2,270,4,11,7,1016559,492580,523979,61749,5,11,254,345,-91,-5.7,-1,-6.7,-4.3,-2.4,1,1,65000,2,24.98,1
"128",21,997,10,15,15,4,27,13,296,1,354,2,20,15,1127515,547488,580027,68436,14,2,348,238,110,6.9,0.1,6.9,2.1,4.9,2,2,65878,1,24.98,1
"129",4,701,12,13,19,4,38,21,431,0,300,3,4,18,1119646,547702,571944,73287,8,8,379,397,-18,-1.1,0.9,-0.3,2.1,-2.3,1,1,71608,2,24.98,1
"130",12,2891,13,16,23,4,45,17,515,1,386,6,12,22,1122668,566362,556306,70649,10,6,388,240,148,9.3,1.7,10.9,3.1,7.9,2,2,81441,3,24.98,1
"131",12,4987,13,14,2,4,34,20,300,0,344,2,12,2,1163842,622677,541165,77329,6,9,376,400,-24,-1.5,-1.2,-2.7,0,-2.7,1,1,81441,3,24.98,1
"132",12,5034,13,17,11,4,31,0,402,0,175,1,12,11,1163842,622677,541165,77341,6,9,376,400,-24,-1.5,-1.2,-2.7,0,-2.7,1,1,81441,3,24.98,1
"133",14,4732,16,15,10,5,25,13,462,1,228,0,14,10,1022042,507525,514517,63411,4,12,263,404,-141,-8.8,-1.3,-10.1,-6.1,-4,1,1,67000,1,24.98,1
"134",7,1285,23,16,23,4,23,22,233,2,326,1,7,22,1099386,524248,575138,64606,8,8,374,372,2,0.1,2.5,2.7,4.3,-1.6,1,1,65515,1,24.98,1
"135",7,3434,23,17,3,4,23,17,189,0,352,1,7,3,1021414,489504,531910,61565,10,6,391,320,71,4.4,-2.4,2.1,1.2,0.9,2,1,65515,1,24.98,1
"136",22,682,28,12,8,4,24,15,339,2,383,6,21,8,1068183,542796,525387,68295,9,7,432,388,44,2.8,-0.3,2.4,5.8,-3.3,1,1,74295,2,24.98,1
"137",31,2065,29,15,12,4,33,14,277,3,364,2,29,12,1049682,514354,535328,66008,3,13,263,438,-175,-10.9,-2,-13,-6.5,-6.5,1,1,67277,2,24.98,1
"138",20,946,32,12,11,4,24,14,307,2,241,4,19,11,1017297,513437,503860,63946,9,7,416,353,63,3.9,-1,2.9,4,-1.1,1,1,66200,1,24.98,1
"139",20,3107,32,13,10,4,35,32,336,2,489,3,19,10,1047585,502529,545056,62939,3,13,340,449,-109,-6.8,1.1,-5.7,-1.6,-4.1,1,1,66200,1,24.98,1
"140",10,693,7,12,14,4,23,20,344,3,285,2,10,14,1161974,604904,557070,75075,9,7,392,344,48,3,1.9,4.9,3,1.9,1,1,76125,3,25,1
"141",27,1281,1,16,3,4,20,7,404,2,248,1,25,3,1082241,507385,574856,64227,15,1,372,251,121,7.6,1.4,9,3.4,5.6,2,1,68400,3,26.06,1
"142",27,3429,1,17,8,4,24,10,212,0,320,4,25,8,1078574,489135,589439,51831,8,8,336,314,22,1.4,-2,-0.7,-2.8,2.1,1,1,68400,3,26.06,1
"143",9,4479,4,15,32,4,26,20,449,1,276,4,9,30,1322087,740318,581769,93101,13,3,421,306,115,7.2,-0.2,7,4.1,2.9,2,1,80000,2,26.06,1
"144",4,4467,12,15,8,4,33,13,451,0,269,0,4,8,1098702,548073,550629,66529,7,9,399,378,21,1.3,-1.6,-0.3,1.8,-2.2,1,1,71608,2,26.06,1
"145",12,2833,13,13,29,4,34,16,410,0,269,1,12,27,1122668,566362,556306,70575,10,6,388,240,148,9.3,1.7,10.9,3.1,7.9,2,2,81441,3,26.06,1
"146",24,3351,20,12,21,5,49,19,475,1,405,5,22,20,1142324,632704,509620,79088,6,10,281,375,-94,-5.9,0,-5.9,-5.1,-0.9,1,1,82500,2,26.06,1
"147",33,487,21,16,8,4,41,38,409,1,452,2,31,8,1089472,550393,539079,68798,7,9,336,388,-52,-3.3,1.2,-2,2.4,-4.4,1,1,69143,3,26.06,1
"148",7,4471,23,15,27,4,24,20,382,0,222,1,7,25,1088770,508071,580699,62096,6,9,325,315,10,0.6,0.4,1,-1.5,2.5,1,1,65515,1,26.06,1
"149",6,3704,27,17,12,4,33,28,473,2,345,2,6,12,1057075,498864,558211,62708,8,8,445,478,-33,-2.1,-2.1,-4.1,3,-7.1,1,1,61500,3,26.06,1
"150",6,4997,27,14,18,4,15,6,294,3,214,4,6,17,1045568,490750,554818,61695,12,4,421,283,138,8.6,-2.3,6.3,1.5,4.8,2,1,61500,3,26.06,1
"151",22,3614,28,11,29,4,23,20,387,3,196,1,21,27,1123230,583210,540020,73025,11,5,414,304,110,6.9,1.9,8.8,3.8,5,2,1,74295,2,26.06,1
"152",31,2881,29,16,29,4,25,17,335,1,331,2,29,27,911195,423383,487812,52820,7,9,289,328,-39,-2.4,-4.2,-6.7,-6.3,-0.4,1,1,67277,2,26.06,1
"153",20,159,32,12,5,4,31,17,446,2,330,3,19,5,1029262,513322,515940,64208,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,2,1,66200,1,26.06,1
"154",20,4409,32,11,1,4,30,24,217,1,290,2,19,1,1084502,534289,550213,66808,8,8,327,307,20,1.3,-0.3,0.9,-2.6,3.6,1,1,66200,1,26.06,1
"155",34,2046,8,14,6,5,24,16,345,1,356,2,32,6,1259463,704722,554741,82213,9,7,334,310,24,1.5,3,4.5,0.2,4.3,2,1,79000,3,26.6,1
"156",20,2259,32,10,12,4,28,27,361,3,184,0,19,12,1023776,506136,517640,63845,10,6,379,333,46,2.9,1.2,4,1.1,2.9,2,1,66200,1,26.6,1
"157",27,2567,1,13,25,4,27,24,396,0,401,1,25,23,1051386,507882,543504,61820,9,7,368,324,44,2.8,-1.1,1.7,1,0.7,1,1,68400,3,26.96,1
"158",16,467,3,15,28,4,20,17,323,2,329,0,16,26,1120677,617488,503189,76131,6,10,320,344,-24,-1.5,0.3,-1.2,-0.2,-1,1,1,76416,3,26.96,1
"159",16,994,3,15,11,4,45,17,521,0,334,2,16,11,1163872,627840,536032,77922,13,3,484,332,152,9.5,-1.2,8.3,9.2,-0.9,2,1,76416,3,26.96,1
"160",16,3913,3,13,10,4,29,16,388,1,151,3,16,10,1127251,599743,527508,76894,9,7,353,281,72,4.5,1.2,5.7,0,5.7,1,1,76416,3,26.96,1
"161",16,4990,3,14,3,4,27,24,442,1,321,1,16,3,1107376,607780,499596,74336,12,4,565,421,144,9,-0.1,8.9,12.6,-3.8,2,1,76416,3,26.96,1
"162",8,3671,6,15,6,4,38,31,440,3,366,2,8,6,1122750,569939,552811,71513,4,12,308,406,-98,-6.1,-1.6,-7.7,-4.8,-2.9,1,1,67895,3,26.96,1
"163",11,2838,9,13,6,4,24,20,311,1,302,0,11,6,977218,450286,526932,58119,6,10,362,369,-7,-0.4,2.3,1.9,2.4,-0.5,1,1,65000,2,26.96,1
"164",11,4733,9,15,6,3,20,10,293,1,349,3,11,6,1046765,513100,533665,65872,9,7,410,376,34,2.1,0.6,2.7,5.2,-2.5,1,1,65000,2,26.96,1
"165",21,991,10,14,19,4,12,0,228,1,134,3,20,18,1127515,547488,580027,68436,14,2,348,238,110,6.9,0.1,6.9,2.1,4.9,2,2,65878,1,26.96,1
"166",21,2846,10,13,24,2,45,3,405,0,301,3,20,22,1088753,550048,538705,68756,14,2,518,313,205,12.8,2.6,15.4,12.6,2.8,2,1,65878,1,26.96,1
"167",4,193,12,14,19,4,33,6,333,1,196,3,4,18,1098587,560695,537892,73002,8,8,315,350,-35,-2.2,2.2,0,0.5,-0.5,1,1,71608,2,26.96,1
"168",4,3431,12,17,24,4,28,9,334,1,332,2,4,22,1033263,495423,537840,54533,6,10,344,435,-91,-5.7,-1,-6.7,-0.9,-5.8,1,1,71608,2,26.96,1
"169",4,4458,12,14,27,4,27,20,460,3,275,1,4,25,1098702,548073,550629,69657,7,9,399,378,21,1.3,-1.6,-0.3,1.8,-2.2,1,1,71608,2,26.96,1
"170",12,749,13,16,4,4,10,0,223,2,185,6,12,4,1046418,508788,537630,64106,12,4,398,328,70,4.4,-0.8,3.6,2.4,1.2,2,1,81441,3,26.96,1
"171",12,3975,13,17,11,4,30,20,377,2,313,1,12,11,1148560,625114,523446,78408,12,4,486,348,138,8.6,-0.3,8.3,7.9,0.4,2,1,81441,3,26.96,1
"172",12,4461,13,14,30,4,38,10,330,0,354,6,12,28,1169215,625727,543488,78057,10,6,432,388,44,2.8,0.1,2.8,4.9,-2,2,1,81441,3,26.96,1
"173",12,4677,13,11,3,4,23,0,219,1,265,5,12,3,1183556,624742,558814,77945,7,9,320,384,-64,-4,2.1,-1.9,-0.3,-1.6,1,1,81441,3,26.96,1
"174",3,2327,18,14,34,4,24,10,281,2,254,3,3,32,1115465,570152,545313,71438,11,5,385,244,141,8.8,1,9.8,4.2,5.6,2,1,71008,1,26.96,1
"175",33,3883,21,11,27,2,27,24,386,1,312,1,31,25,1096866,553144,543722,69143,2,14,254,438,-184,-11.5,-0.3,-11.8,-7,-4.9,1,1,69143,3,26.96,1
"176",7,3651,23,14,14,4,42,28,430,0,389,0,7,14,1001806,506377,495429,62507,11,5,430,305,125,7.8,-2.5,5.4,2.3,3,2,1,65515,1,26.96,1
"177",6,2329,27,15,22,5,27,24,226,3,345,2,6,21,1028406,496276,532130,61692,9,7,375,350,25,1.6,0.5,2.1,1.1,1,1,1,61500,3,26.96,1
"178",22,163,28,12,25,4,31,22,293,1,333,1,21,23,980803,504315,476488,64900,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,2,1,74295,2,26.96,1
"179",22,4635,28,8,6,4,20,12,387,2,307,1,21,6,1146046,585113,560933,73192,11,5,448,326,122,7.6,1.5,9.2,7,2.2,2,1,74295,2,26.96,1
"180",31,1506,29,13,34,4,24,9,407,0,191,2,29,32,1036861,523685,513176,65701,6,10,363,429,-66,-4.1,-1,-5.1,1.3,-6.4,1,1,67277,2,26.96,1
"181",31,2598,29,15,13,4,16,13,419,2,237,2,29,13,943627,441901,501726,46256,1,15,175,436,-261,-16.3,-1.1,-17.4,-11.7,-5.8,1,1,67277,2,26.96,1
"182",20,743,32,16,19,3,20,17,368,3,239,2,19,18,1045728,512517,533211,64285,6,10,390,442,-52,-3.3,0.2,-3,3.1,-6.1,1,1,66200,1,26.96,1
"183",16,958,3,12,25,4,27,24,384,0,379,0,16,23,1163872,627840,536032,78889,13,3,484,332,152,9.5,-1.2,8.3,9.2,-0.9,2,1,76416,3,28.04,1
"184",16,1508,3,13,10,4,31,27,421,3,388,2,16,10,1180710,623325,557385,78261,10,6,403,325,78,4.9,2.1,7,5.1,1.9,1,1,76416,3,28.04,1
"185",8,4456,6,14,7,4,23,10,360,0,254,1,8,7,1044825,514489,530336,60028,1,15,264,452,-188,-11.8,1.7,-10.1,-5.2,-4.9,1,1,67895,3,28.04,1
"186",11,1498,9,13,20,4,21,16,345,0,223,1,11,19,1016559,492580,523979,61375,5,11,254,345,-91,-5.7,-1,-6.7,-4.3,-2.4,1,1,65000,2,28.04,1
"187",11,2053,9,14,9,4,28,27,368,1,390,0,11,9,1035791,490436,545355,62759,7,9,346,444,-98,-6.1,2.6,-3.6,1.4,-5,1,1,65000,2,28.04,1
"188",11,4452,9,14,6,4,20,17,323,2,296,0,11,6,1075305,486342,588963,61726,9,7,346,358,-12,-0.8,-0.6,-1.4,-1.3,-0.1,2,1,65000,2,28.04,1
"189",4,3149,12,16,10,3,40,14,351,0,285,3,4,10,1032609,490443,542166,45112,6,10,372,434,-62,-3.9,0.5,-3.4,1.2,-4.5,1,1,71608,2,28.04,1
"190",4,4718,12,14,14,4,13,7,319,2,227,0,4,14,1040917,534200,506717,60222,9,7,302,359,-57,-3.6,-0.5,-4,-3,-1,2,1,71608,2,28.04,1
"191",4,4984,12,14,24,4,27,23,248,2,368,3,4,22,1072899,519695,553204,59119,6,10,269,374,-105,-6.6,-0.3,-6.9,-6.3,-0.6,1,1,71608,2,28.04,1
"192",12,1257,13,14,11,4,16,13,301,0,228,0,12,11,1112569,564400,548169,70497,10,6,424,380,44,2.8,-2.4,0.3,4.3,-4,2,1,81441,3,28.04,1
"193",12,3880,13,11,26,4,53,20,475,0,429,4,12,24,1148560,625114,523446,78270,12,4,486,348,138,8.6,-0.3,8.3,7.9,0.4,2,1,81441,3,28.04,1
"194",12,3912,13,13,21,4,26,21,478,0,320,0,12,20,1148560,625114,523446,78431,12,4,486,348,138,8.6,-0.3,8.3,7.9,0.4,2,1,81441,3,28.04,1
"195",26,3649,15,14,11,4,34,20,478,1,231,3,24,11,1141155,553152,588003,69144,10,6,442,382,60,3.8,-1.9,1.9,2.3,-0.5,2,1,67594,3,28.04,1
"196",14,2085,16,16,13,4,38,15,458,1,299,3,14,13,1009598,458437,551161,57262,13,3,450,262,188,11.8,0.3,12,6.6,5.4,2,1,67000,1,28.04,1
"197",14,2625,16,16,24,4,29,15,293,0,286,2,14,22,1066479,532398,534081,67222,14,2,416,307,109,6.8,-0.9,5.9,4.4,1.5,2,1,67000,1,28.04,1
